Return_ID,Return_Date,Return_Reason,Return_Status,Approval_Date,Return_Notes,Customer_account_ID
RET000001,2024-07-22,Product not as described,Rejected,2024-07-29,Customer requested return. Condition noted.,CST002764
RET000002,2024-08-28,Better price found elsewhere,Approved,2024-08-29,Customer requested return. Condition noted.,CST000909
RET000003,2024-12-10,Product not as described,Pending,,Customer requested return. Condition noted.,CST001810
RET000004,2024-06-25,Product not as described,Approved,2024-06-27,Customer requested return. Condition noted.,CST002193
RET000005,2022-04-05,Incompatible with device,Approved,2022-04-10,Customer requested return. Condition noted.,CST001570
RET000006,2022-09-06,Changed mind,Approved,2022-09-13,Customer requested return. Condition noted.,CST002463
RET000007,2025-02-03,Product not as described,Pending,,Customer requested return. Condition noted.,CST000313
RET000008,2025-10-16,Duplicate purchase,Approved,2025-10-18,Customer requested return. Condition noted.,CST002715
RET000009,2025-02-12,Product not as described,Approved,2025-02-14,Customer requested return. Condition noted.,CST001494
RET000010,2024-07-02,Wrong item delivered,Approved,2024-07-05,Customer requested return. Condition noted.,CST001706
RET000011,2024-02-20,Product not as described,Approved,2024-02-22,Customer requested return. Condition noted.,CST001973
RET000012,2022-07-26,Better price found elsewhere,Pending,,Customer requested return. Condition noted.,CST000252
RET000013,2023-06-19,Changed mind,Rejected,2023-06-24,Customer requested return. Condition noted.,CST002093
RET000014,2024-05-12,Better price found elsewhere,Processing,,Customer requested return. Condition noted.,CST002757
RET000015,2024-02-10,Defective product,Rejected,2024-02-13,Customer requested return. Condition noted.,CST000945
RET000016,2023-09-21,Product not as described,Approved,2023-09-28,Customer requested return. Condition noted.,CST001511
RET000017,2023-03-12,Damaged during shipping,Rejected,2023-03-14,Customer requested return. Condition noted.,CST000440
RET000018,2023-07-02,Duplicate purchase,Rejected,2023-07-05,Customer requested return. Condition noted.,CST002012
RET000019,2024-09-11,Duplicate purchase,Approved,2024-09-18,Customer requested return. Condition noted.,CST002859
RET000020,2025-04-30,Defective product,Approved,2025-05-04,Customer requested return. Condition noted.,CST002418
RET000021,2025-05-20,Changed mind,Rejected,2025-05-26,Customer requested return. Condition noted.,CST000487
RET000022,2023-07-21,Better price found elsewhere,Processing,,Customer requested return. Condition noted.,CST000076
RET000023,2024-03-14,Defective product,Approved,2024-03-17,Customer requested return. Condition noted.,CST000852
RET000024,2025-04-17,Duplicate purchase,Approved,2025-04-24,Customer requested return. Condition noted.,CST000420
RET000025,2022-04-11,Better price found elsewhere,Approved,2022-04-13,Customer requested return. Condition noted.,CST001320
RET000026,2024-04-20,Damaged during shipping,Approved,2024-04-22,Customer requested return. Condition noted.,CST000616
RET000027,2022-05-31,Better price found elsewhere,Approved,2022-06-06,Customer requested return. Condition noted.,CST001248
RET000028,2025-08-14,Incompatible with device,Approved,2025-08-19,Customer requested return. Condition noted.,CST000398
RET000029,2025-03-11,Defective product,Rejected,2025-03-14,Customer requested return. Condition noted.,CST000247
RET000030,2022-12-18,Product not as described,Approved,2022-12-24,Customer requested return. Condition noted.,CST002447
RET000031,2022-08-17,Damaged during shipping,Pending,,Customer requested return. Condition noted.,CST002273
RET000032,2022-08-18,Damaged during shipping,Processing,,Customer requested return. Condition noted.,CST001985
RET000033,2024-12-18,Incompatible with device,Approved,2024-12-25,Customer requested return. Condition noted.,CST001209
RET000034,2023-11-21,Incompatible with device,Approved,2023-11-24,Customer requested return. Condition noted.,CST000469
RET000035,2022-05-02,Defective product,Approved,2022-05-05,Customer requested return. Condition noted.,CST002176
RET000036,2023-12-10,Damaged during shipping,Approved,2023-12-14,Customer requested return. Condition noted.,CST002291
RET000037,2024-05-12,Defective product,Approved,2024-05-16,Customer requested return. Condition noted.,CST001378
RET000038,2025-10-14,Product not as described,Approved,2025-10-15,Customer requested return. Condition noted.,CST001369
RET000039,2025-05-26,Better price found elsewhere,Approved,2025-05-28,Customer requested return. Condition noted.,CST000178
RET000040,2023-10-01,Duplicate purchase,Approved,2023-10-04,Customer requested return. Condition noted.,CST001584
RET000041,2024-11-15,Defective product,Approved,2024-11-21,Customer requested return. Condition noted.,CST000278
RET000042,2024-09-03,Damaged during shipping,Approved,2024-09-09,Customer requested return. Condition noted.,CST000088
RET000043,2025-02-21,Changed mind,Rejected,2025-02-24,Customer requested return. Condition noted.,CST001712
RET000044,2022-03-13,Better price found elsewhere,Pending,,Customer requested return. Condition noted.,CST000059
RET000045,2025-07-29,Defective product,Pending,,Customer requested return. Condition noted.,CST001730
RET000046,2023-04-26,Defective product,Approved,2023-04-27,Customer requested return. Condition noted.,CST001115
RET000047,2023-09-13,Duplicate purchase,Pending,,Customer requested return. Condition noted.,CST000672
RET000048,2023-12-04,Wrong item delivered,Pending,,Customer requested return. Condition noted.,CST002695
RET000049,2023-05-23,Better price found elsewhere,Processing,,Customer requested return. Condition noted.,CST000138
RET000050,2023-03-12,Damaged during shipping,Approved,2023-03-18,Customer requested return. Condition noted.,CST000270
RET000051,2023-11-19,Defective product,Approved,2023-11-25,Customer requested return. Condition noted.,CST001663
RET000052,2023-08-26,Duplicate purchase,Approved,2023-09-01,Customer requested return. Condition noted.,CST000226
RET000053,2022-10-20,Changed mind,Approved,2022-10-21,Customer requested return. Condition noted.,CST000726
RET000054,2025-11-24,Changed mind,Approved,2025-11-28,Customer requested return. Condition noted.,CST001655
RET000055,2025-01-19,Damaged during shipping,Approved,2025-01-25,Customer requested return. Condition noted.,CST001949
RET000056,2025-03-11,Wrong item delivered,Approved,2025-03-12,Customer requested return. Condition noted.,CST000546
RET000057,2025-07-23,Duplicate purchase,Pending,,Customer requested return. Condition noted.,CST000864
RET000058,2022-06-02,Duplicate purchase,Pending,,Customer requested return. Condition noted.,CST000133
RET000059,2023-04-18,Defective product,Approved,2023-04-23,Customer requested return. Condition noted.,CST000695
RET000060,2022-09-15,Incompatible with device,Approved,2022-09-22,Customer requested return. Condition noted.,CST002946
RET000061,2022-05-02,Duplicate purchase,Approved,2022-05-04,Customer requested return. Condition noted.,CST001052
RET000062,2022-03-30,Incompatible with device,Pending,,Customer requested return. Condition noted.,CST001542
RET000063,2023-03-16,Better price found elsewhere,Approved,2023-03-18,Customer requested return. Condition noted.,CST000931
RET000064,2025-05-08,Duplicate purchase,Processing,,Customer requested return. Condition noted.,CST002549
RET000065,2023-02-04,Incompatible with device,Pending,,Customer requested return. Condition noted.,CST002422
RET000066,2022-05-31,Better price found elsewhere,Approved,2022-06-06,Customer requested return. Condition noted.,CST000209
RET000067,2025-01-28,Better price found elsewhere,Rejected,2025-01-30,Customer requested return. Condition noted.,CST002024
RET000068,2023-03-16,Defective product,Approved,2023-03-23,Customer requested return. Condition noted.,CST002668
RET000069,2024-05-05,Product not as described,Approved,2024-05-11,Customer requested return. Condition noted.,CST002423
RET000070,2024-03-02,Damaged during shipping,Approved,2024-03-06,Customer requested return. Condition noted.,CST001106
RET000071,2025-04-16,Changed mind,Approved,2025-04-19,Customer requested return. Condition noted.,CST001912
RET000072,2023-09-04,Defective product,Approved,2023-09-07,Customer requested return. Condition noted.,CST001993
RET000073,2024-10-31,Better price found elsewhere,Approved,2024-11-02,Customer requested return. Condition noted.,CST000850
RET000074,2022-03-29,Wrong item delivered,Approved,2022-04-03,Customer requested return. Condition noted.,CST002858
RET000075,2022-12-25,Incompatible with device,Approved,2023-01-01,Customer requested return. Condition noted.,CST002008
RET000076,2024-03-14,Duplicate purchase,Pending,,Customer requested return. Condition noted.,CST000092
RET000077,2025-07-21,Incompatible with device,Rejected,2025-07-28,Customer requested return. Condition noted.,CST001814
RET000078,2023-09-01,Wrong item delivered,Approved,2023-09-08,Customer requested return. Condition noted.,CST001660
RET000079,2025-11-11,Changed mind,Approved,2025-11-16,Customer requested return. Condition noted.,CST002368
RET000080,2022-01-21,Incompatible with device,Approved,2022-01-23,Customer requested return. Condition noted.,CST000007
RET000081,2022-04-25,Damaged during shipping,Rejected,2022-04-27,Customer requested return. Condition noted.,CST002668
RET000082,2023-12-18,Defective product,Rejected,2023-12-22,Customer requested return. Condition noted.,CST000310
RET000083,2024-05-20,Better price found elsewhere,Processing,,Customer requested return. Condition noted.,CST000308
RET000084,2024-02-07,Damaged during shipping,Approved,2024-02-08,Customer requested return. Condition noted.,CST000655
RET000085,2023-09-17,Incompatible with device,Approved,2023-09-20,Customer requested return. Condition noted.,CST000289
RET000086,2025-01-11,Duplicate purchase,Pending,,Customer requested return. Condition noted.,CST002950
RET000087,2022-03-06,Incompatible with device,Rejected,2022-03-12,Customer requested return. Condition noted.,CST002836
RET000088,2024-11-12,Defective product,Approved,2024-11-16,Customer requested return. Condition noted.,CST001516
RET000089,2025-01-06,Defective product,Approved,2025-01-09,Customer requested return. Condition noted.,CST002195
RET000090,2023-06-12,Changed mind,Pending,,Customer requested return. Condition noted.,CST000767
RET000091,2022-10-05,Product not as described,Approved,2022-10-10,Customer requested return. Condition noted.,CST000314
RET000092,2025-07-22,Changed mind,Approved,2025-07-27,Customer requested return. Condition noted.,CST002504
RET000093,2023-04-23,Incompatible with device,Approved,2023-04-30,Customer requested return. Condition noted.,CST001517
RET000094,2025-01-07,Wrong item delivered,Approved,2025-01-10,Customer requested return. Condition noted.,CST002935
RET000095,2022-03-26,Duplicate purchase,Approved,2022-03-30,Customer requested return. Condition noted.,CST000891
RET000096,2025-12-03,Duplicate purchase,Processing,,Customer requested return. Condition noted.,CST002987
RET000097,2024-01-18,Damaged during shipping,Pending,,Customer requested return. Condition noted.,CST001151
RET000098,2022-07-15,Changed mind,Rejected,2022-07-18,Customer requested return. Condition noted.,CST002724
RET000099,2025-02-16,Better price found elsewhere,Approved,2025-02-22,Customer requested return. Condition noted.,CST001348
RET000100,2025-12-26,Duplicate purchase,Approved,2025-12-31,Customer requested return. Condition noted.,CST001166
RET000101,2024-09-21,Changed mind,Approved,2024-09-24,Customer requested return. Condition noted.,CST000731
RET000102,2022-03-21,Product not as described,Rejected,2022-03-25,Customer requested return. Condition noted.,CST002600
