Promotion_ID,Promotion_description,Promotion_status
PRM000001,Buy 1 Get 1 Free on Accessories,Inactive
PRM000002,Buy 3 Get 1 Free on Consoles,Active
PRM000003,Buy 3 Get 1 Free on Audio,Active
PRM000004,Buy 3 Get 1 Free on Cameras,Active
PRM000005,Buy 3 Get 1 Free on Consoles,Expired
PRM000006,Buy 3 Get 1 Free on Tablets,Inactive
PRM000007,22% off Wearables,Expired
PRM000008,Buy 1 Get 1 Free on Smartphones,Inactive
PRM000009,Buy 3 Get 1 Free on TVs,Active
PRM000010,Buy 1 Get 1 Free on Consoles,Active
PRM000011,8% off TVs,Expired
PRM000012,Buy 2 Get 1 Free on Home Appliances,Inactive
PRM000013,Buy 3 Get 1 Free on Tablets,Active
PRM000014,10% off Accessories,Active
PRM000015,30% off Home Appliances,Expired
PRM000016,26% off Consoles,Active
PRM000017,Buy 1 Get 1 Free on Tablets,Expired
PRM000018,Buy 1 Get 1 Free on Wearables,Inactive
PRM000019,5% off Wearables,Expired
PRM000020,Buy 1 Get 1 Free on Home Appliances,Active
PRM000021,Buy 3 Get 1 Free on TVs,Expired
PRM000022,23% off Accessories,Active
PRM000023,10% off Wearables,Active
PRM000024,Buy 3 Get 1 Free on Laptops,Expired
PRM000025,20% off Smartphones,Expired
PRM000026,Buy 2 Get 1 Free on Smartphones,Expired
PRM000027,Buy 2 Get 1 Free on Cameras,Active
PRM000028,Buy 2 Get 1 Free on Accessories,Inactive
PRM000029,6% off Tablets,Inactive
PRM000030,21% off Wearables,Active
PRM000031,13% off Cameras,Active
PRM000032,6% off Smartphones,Expired
PRM000033,14% off Home Appliances,Inactive
PRM000034,7% off Laptops,Inactive
PRM000035,Buy 2 Get 1 Free on Smartphones,Inactive
PRM000036,16% off Cameras,Active
PRM000037,Buy 1 Get 1 Free on Consoles,Active
PRM000038,29% off Accessories,Active
PRM000039,23% off Smartphones,Expired
PRM000040,14% off Wearables,Inactive
PRM000041,22% off Consoles,Inactive
PRM000042,Buy 2 Get 1 Free on TVs,Expired
PRM000043,11% off Tablets,Inactive
PRM000044,Buy 2 Get 1 Free on TVs,Active
PRM000045,Buy 2 Get 1 Free on Cameras,Expired
PRM000046,Buy 2 Get 1 Free on Wearables,Expired
PRM000047,17% off Wearables,Inactive
PRM000048,Buy 2 Get 1 Free on Audio,Inactive
PRM000049,6% off Consoles,Active
PRM000050,6% off Laptops,Inactive
PRM000051,5% off Tablets,Inactive
PRM000052,26% off Cameras,Expired
PRM000053,26% off Tablets,Active
PRM000054,10% off Audio,Active
PRM000055,6% off Consoles,Inactive
PRM000056,17% off Audio,Active
PRM000057,Buy 2 Get 1 Free on Consoles,Expired
PRM000058,24% off Home Appliances,Active
PRM000059,Buy 1 Get 1 Free on Accessories,Expired
PRM000060,25% off Tablets,Inactive
PRM000061,Buy 1 Get 1 Free on Accessories,Expired
PRM000062,Buy 1 Get 1 Free on Audio,Active
PRM000063,14% off Wearables,Expired
PRM000064,Buy 1 Get 1 Free on Cameras,Expired
PRM000065,Buy 3 Get 1 Free on Tablets,Active
PRM000066,Buy 2 Get 1 Free on Tablets,Expired
PRM000067,15% off TVs,Active
PRM000068,Buy 2 Get 1 Free on Tablets,Inactive
PRM000069,Buy 2 Get 1 Free on Home Appliances,Active
PRM000070,5% off TVs,Expired
PRM000071,Buy 3 Get 1 Free on Tablets,Expired
PRM000072,11% off Laptops,Expired
PRM000073,Buy 3 Get 1 Free on Audio,Expired
PRM000074,Buy 3 Get 1 Free on Laptops,Inactive
PRM000075,5% off Cameras,Active
PRM000076,8% off Smartphones,Expired
PRM000077,Buy 1 Get 1 Free on Home Appliances,Active
PRM000078,10% off Smartphones,Expired
PRM000079,Buy 3 Get 1 Free on Wearables,Active
PRM000080,8% off Smartphones,Expired
